supported_index,query_id,query_id_s,fragannotator_true_rank,fragannotator_top1_correct,fragannotator_top10_correct,fragannotator_reciprocal_rank,sirius_formula_only_true_rank,sirius_formula_only_top1_correct,sirius_formula_only_top10_correct,sirius_formula_only_reciprocal_rank,cfmid_native_true_rank,cfmid_native_top1_correct,cfmid_native_top10_correct,cfmid_native_reciprocal_rank,cfmid_ms2deepscore_hybrid_true_rank,cfmid_ms2deepscore_hybrid_top1_correct,cfmid_ms2deepscore_hybrid_top10_correct,cfmid_ms2deepscore_hybrid_reciprocal_rank,iceberg_true_rank,iceberg_top1_correct,iceberg_top10_correct,iceberg_reciprocal_rank,massformer_true_rank,massformer_top1_correct,massformer_top10_correct,massformer_reciprocal_rank
52,76,76,5236.0,False,False,0.0001909854851031,5236.0,False,False,0.0001909854851031,1138.0,False,False,0.0008787346221441,1625.0,False,False,0.0006153846153846,321.0,False,False,0.0031152647975077,2896.0,False,False,0.0003453038674033
53,77,77,1.0,True,True,1.0,1.0,True,True,1.0,10.0,False,True,0.1,265.0,False,False,0.0037735849056603,5.0,False,True,0.2,729.0,False,False,0.0013717421124828
54,78,78,1.0,True,True,1.0,1.0,True,True,1.0,67.0,False,False,0.0149253731343283,3.0,False,True,0.3333333333333333,3.0,False,True,0.3333333333333333,339.0,False,False,0.0029498525073746
55,79,79,1.0,True,True,1.0,1.0,True,True,1.0,890.0,False,False,0.0011235955056179,2698.0,False,False,0.0003706449221645,451.0,False,False,0.0022172949002217,3658.0,False,False,0.0002733734281027
56,80,80,1.0,True,True,1.0,1.0,True,True,1.0,69.0,False,False,0.0144927536231884,307.0,False,False,0.003257328990228,226.0,False,False,0.0044247787610619,629.0,False,False,0.0015898251192368
57,82,82,1.0,True,True,1.0,1.0,True,True,1.0,238.0,False,False,0.0042016806722689,2609.0,False,False,0.000383288616328,269.0,False,False,0.0037174721189591,1559.0,False,False,0.0006414368184733
58,83,83,1.0,True,True,1.0,1.0,True,True,1.0,518.0,False,False,0.0019305019305019,678.0,False,False,0.0014749262536873,776.0,False,False,0.0012886597938144,235.0,False,False,0.0042553191489361
59,84,84,1.0,True,True,1.0,1.0,True,True,1.0,3039.0,False,False,0.0003290556103981,1941.0,False,False,0.0005151983513652,2908.0,False,False,0.0003438789546079,2481.0,False,False,0.0004030632809351
60,87,87,1.0,True,True,1.0,1.0,True,True,1.0,89.0,False,False,0.0112359550561797,468.0,False,False,0.0021367521367521,204.0,False,False,0.0049019607843137,55.0,False,False,0.0181818181818181
61,88,88,708.0,False,False,0.001412429378531,28.0,False,False,0.0357142857142857,5593.0,False,False,0.0001787949222242,1503.0,False,False,0.0006653359946773,192.0,False,False,0.0052083333333333,763.0,False,False,0.001310615989515
62,89,89,1.0,True,True,1.0,1.0,True,True,1.0,2213.0,False,False,0.000451875282422,2156.0,False,False,0.0004638218923933,38.0,False,False,0.0263157894736842,2826.0,False,False,0.0003538570417551
63,90,90,1.0,True,True,1.0,1.0,True,True,1.0,778.0,False,False,0.0012853470437017,1142.0,False,False,0.0008756567425569,1092.0,False,False,0.0009157509157509,1140.0,False,False,0.0008771929824561
64,93,93,1.0,True,True,1.0,1.0,True,True,1.0,3.0,False,True,0.3333333333333333,6.0,False,True,0.1666666666666666,3.0,False,True,0.3333333333333333,5722.0,False,False,0.0001747640685075
65,94,94,1.0,True,True,1.0,13.0,False,False,0.0769230769230769,61.0,False,False,0.0163934426229508,43.0,False,False,0.0232558139534883,4.0,False,True,0.25,2.0,False,True,0.5
66,95,95,1.0,True,True,1.0,1.0,True,True,1.0,28.0,False,False,0.0357142857142857,34.0,False,False,0.0294117647058823,12.0,False,False,0.0833333333333333,79.0,False,False,0.0126582278481012
67,96,96,1.0,True,True,1.0,1.0,True,True,1.0,2689.0,False,False,0.0003718854592785,846.0,False,False,0.0011820330969267,70.0,False,False,0.0142857142857142,245.0,False,False,0.0040816326530612
68,98,98,5655.0,False,False,0.0001768346595932,5655.0,False,False,0.0001768346595932,911.0,False,False,0.0010976948408342,2166.0,False,False,0.0004616805170821,737.0,False,False,0.0013568521031207,158.0,False,False,0.0063291139240506
69,99,99,1.0,True,True,1.0,1.0,True,True,1.0,144.0,False,False,0.0069444444444444,910.0,False,False,0.001098901098901,21.0,False,False,0.0476190476190476,1826.0,False,False,0.0005476451259583
70,100,100,1.0,True,True,1.0,1.0,True,True,1.0,14.0,False,False,0.0714285714285714,209.0,False,False,0.0047846889952153,23.0,False,False,0.0434782608695652,99.0,False,False,0.0101010101010101
71,101,101,1.0,True,True,1.0,1.0,True,True,1.0,1908.0,False,False,0.000524109014675,1200.0,False,False,0.0008333333333333,962.0,False,False,0.001039501039501,3925.0,False,False,0.0002547770700636
72,102,102,1.0,True,True,1.0,1.0,True,True,1.0,260.0,False,False,0.0038461538461538,809.0,False,False,0.0012360939431396,727.0,False,False,0.0013755158184319,1057.0,False,False,0.0009460737937559
73,104,104,1.0,True,True,1.0,1.0,True,True,1.0,571.0,False,False,0.0017513134851138,830.0,False,False,0.0012048192771084,79.0,False,False,0.0126582278481012,897.0,False,False,0.0011148272017837
74,105,105,1.0,True,True,1.0,1.0,True,True,1.0,4.0,False,True,0.25,56.0,False,False,0.0178571428571428,95.0,False,False,0.0105263157894736,894.0,False,False,0.0011185682326621
75,106,106,1.0,True,True,1.0,1.0,True,True,1.0,1.0,True,True,1.0,239.0,False,False,0.00418410041841,55.0,False,False,0.0181818181818181,702.0,False,False,0.0014245014245014
76,107,107,1.0,True,True,1.0,1.0,True,True,1.0,370.0,False,False,0.0027027027027027,169.0,False,False,0.0059171597633136,781.0,False,False,0.0012804097311139,2866.0,False,False,0.0003489183531053
77,108,108,1.0,True,True,1.0,1.0,True,True,1.0,92.0,False,False,0.0108695652173913,18.0,False,False,0.0555555555555555,96.0,False,False,0.0104166666666666,6319.0,False,False,0.0001582528881152
78,109,109,1.0,True,True,1.0,1.0,True,True,1.0,202.0,False,False,0.0049504950495049,82.0,False,False,0.0121951219512195,334.0,False,False,0.0029940119760479,196.0,False,False,0.0051020408163265
79,111,111,1.0,True,True,1.0,1.0,True,True,1.0,18.0,False,False,0.0555555555555555,2121.0,False,False,0.0004714757190004,8.0,False,True,0.125,1767.0,False,False,0.0005659309564233
80,112,112,1.0,True,True,1.0,1.0,True,True,1.0,759.0,False,False,0.0013175230566534,1016.0,False,False,0.0009842519685039,6.0,False,True,0.1666666666666666,5320.0,False,False,0.000187969924812
81,113,113,1.0,True,True,1.0,1.0,True,True,1.0,80.0,False,False,0.0125,13.0,False,False,0.0769230769230769,2.0,False,True,0.5,250.0,False,False,0.004
82,114,114,28.0,False,False,0.0357142857142857,1.0,True,True,1.0,216.0,False,False,0.0046296296296296,72.0,False,False,0.0138888888888888,46.0,False,False,0.0217391304347826,561.0,False,False,0.0017825311942959
83,115,115,1.0,True,True,1.0,1.0,True,True,1.0,1699.0,False,False,0.0005885815185403,439.0,False,False,0.0022779043280182,477.0,False,False,0.0020964360587002,1152.0,False,False,0.0008680555555555
84,116,116,1.0,True,True,1.0,1.0,True,True,1.0,213.0,False,False,0.0046948356807511,3012.0,False,False,0.0003320053120849,36.0,False,False,0.0277777777777777,558.0,False,False,0.0017921146953405
85,119,119,4693.0,False,False,0.0002130833155763,4887.0,False,False,0.0002046245140167,833.0,False,False,0.0012004801920768,7333.0,False,False,0.0001363698349924,317.0,False,False,0.0031545741324921,6236.0,False,False,0.0001603592046183
86,120,120,1.0,True,True,1.0,1.0,True,True,1.0,2189.0,False,False,0.0004568296025582,1719.0,False,False,0.0005817335660267,936.0,False,False,0.001068376068376,2366.0,False,False,0.0004226542688081
87,121,121,1.0,True,True,1.0,1.0,True,True,1.0,578.0,False,False,0.0017301038062283,503.0,False,False,0.0019880715705765,683.0,False,False,0.0014641288433382,279.0,False,False,0.003584229390681
88,122,122,1.0,True,True,1.0,1.0,True,True,1.0,3.0,False,True,0.3333333333333333,728.0,False,False,0.0013736263736263,99.0,False,False,0.0101010101010101,661.0,False,False,0.0015128593040847
89,123,123,1.0,True,True,1.0,1.0,True,True,1.0,4.0,False,True,0.25,101.0,False,False,0.0099009900990099,49.0,False,False,0.0204081632653061,48.0,False,False,0.0208333333333333
90,126,126,1.0,True,True,1.0,1.0,True,True,1.0,4.0,False,True,0.25,455.0,False,False,0.0021978021978021,129.0,False,False,0.0077519379844961,735.0,False,False,0.001360544217687
91,127,127,1.0,True,True,1.0,1.0,True,True,1.0,478.0,False,False,0.002092050209205,457.0,False,False,0.0021881838074398,253.0,False,False,0.0039525691699604,131.0,False,False,0.0076335877862595
92,128,128,1.0,True,True,1.0,1.0,True,True,1.0,10.0,False,True,0.1,12.0,False,False,0.0833333333333333,23.0,False,False,0.0434782608695652,1093.0,False,False,0.000914913083257
93,129,129,1.0,True,True,1.0,1.0,True,True,1.0,165.0,False,False,0.006060606060606,129.0,False,False,0.0077519379844961,402.0,False,False,0.0024875621890547,1045.0,False,False,0.000956937799043
94,130,130,1.0,True,True,1.0,1.0,True,True,1.0,816.0,False,False,0.0012254901960784,374.0,False,False,0.0026737967914438,491.0,False,False,0.0020366598778004,8113.0,False,False,0.0001232589670898
95,131,131,1.0,True,True,1.0,1.0,True,True,1.0,169.0,False,False,0.0059171597633136,1785.0,False,False,0.0005602240896358,5.0,False,True,0.2,1052.0,False,False,0.0009505703422053
96,132,132,1.0,True,True,1.0,1.0,True,True,1.0,37.0,False,False,0.027027027027027,1287.0,False,False,0.0007770007770007,129.0,False,False,0.0077519379844961,103.0,False,False,0.0097087378640776
97,135,135,486.0,False,False,0.0020576131687242,489.0,False,False,0.0020449897750511,1590.0,False,False,0.00062893081761,361.0,False,False,0.002770083102493,47.0,False,False,0.0212765957446808,2543.0,False,False,0.0003932363350373
98,136,136,1.0,True,True,1.0,1.0,True,True,1.0,308.0,False,False,0.0032467532467532,160.0,False,False,0.00625,814.0,False,False,0.0012285012285012,268.0,False,False,0.003731343283582
99,137,137,1.0,True,True,1.0,1.0,True,True,1.0,1236.0,False,False,0.0008090614886731,673.0,False,False,0.0014858841010401,1145.0,False,False,0.0008733624454148,106.0,False,False,0.0094339622641509
100,138,138,1.0,True,True,1.0,1.0,True,True,1.0,1776.0,False,False,0.000563063063063,152.0,False,False,0.006578947368421,992.0,False,False,0.001008064516129,5945.0,False,False,0.0001682085786375
