decoy_set,primary_decoy_set,threshold,n_queries,n_decoy_query_candidate_pairs,true_candidate_hits,decoy_hits,queries_with_decoy_hit,true_candidate_recall,decoy_candidate_fpr,decoy_query_fpr,candidate_precision_proxy,query_precision_proxy,weight_search_run,locked_test_used_for_weight_tuning
mass_window_100da_broad,False,0.649717,64,5596,7,8,4,0.109375,0.0014295925661186562,0.0625,0.4666666666666667,0.6363636363636364,False,False
mass_window_100da_broad,False,0.65,64,5596,6,8,4,0.09375,0.0014295925661186562,0.0625,0.42857142857142855,0.6,False,False
mass_window_100da_broad,False,0.672352,64,5596,4,5,3,0.0625,0.0008934953538241601,0.046875,0.4444444444444444,0.5714285714285714,False,False
mass_window_100da_broad,False,0.7,64,5596,2,3,3,0.03125,0.000536097212294496,0.046875,0.4,0.4,False,False
mass_window_100da_broad,False,0.734712,64,5596,2,2,2,0.03125,0.00035739814152966406,0.03125,0.5,0.5,False,False
mass_window_100da_broad,False,0.75,64,5596,2,2,2,0.03125,0.00035739814152966406,0.03125,0.5,0.5,False,False
mass_window_100da_broad,False,0.8,64,5596,2,2,2,0.03125,0.00035739814152966406,0.03125,0.5,0.5,False,False
mass_window_100da_broad,False,0.805399,64,5596,1,1,1,0.015625,0.00017869907076483203,0.015625,0.5,0.5,False,False
mass_window_100da_broad,False,0.85,64,5596,0,1,1,0.0,0.00017869907076483203,0.015625,0.0,0.0,False,False
mass_window_100da_broad,False,0.9,64,5596,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_100da_broad,False,0.95,64,5596,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
mass_window_100da_broad,False,1.0,64,5596,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
same_class_mass_window_50da,False,0.0,64,1052,64,1052,64,1.0,1.0,1.0,0.05734767025089606,0.5,False,False
same_class_mass_window_50da,False,0.05,64,1052,62,652,62,0.96875,0.6197718631178707,0.96875,0.08683473389355742,0.5,False,False
same_class_mass_window_50da,False,0.067653,64,1052,62,568,61,0.96875,0.5399239543726235,0.953125,0.09841269841269841,0.5040650406504065,False,False
same_class_mass_window_50da,False,0.1,64,1052,61,451,60,0.953125,0.42870722433460073,0.9375,0.119140625,0.5041322314049587,False,False
same_class_mass_window_50da,False,0.143177,64,1052,57,262,53,0.890625,0.24904942965779467,0.828125,0.1786833855799373,0.5181818181818182,False,False
same_class_mass_window_50da,False,0.149591,64,1052,55,213,50,0.859375,0.20247148288973385,0.78125,0.20522388059701493,0.5238095238095238,False,False
same_class_mass_window_50da,False,0.15,64,1052,55,208,50,0.859375,0.19771863117870722,0.78125,0.20912547528517111,0.5238095238095238,False,False
same_class_mass_window_50da,False,0.15492,64,1052,55,170,41,0.859375,0.16159695817490494,0.640625,0.24444444444444444,0.5729166666666666,False,False
same_class_mass_window_50da,False,0.164201,64,1052,53,141,36,0.828125,0.13403041825095058,0.5625,0.27319587628865977,0.5955056179775281,False,False
same_class_mass_window_50da,False,0.19522,64,1052,47,82,23,0.734375,0.0779467680608365,0.359375,0.3643410852713178,0.6714285714285714,False,False
