variant,query_id,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,candidate_count
sirius_formula_only_component,121,1.0,True,True,True,1.0,2001
sirius_formula_only_component,122,1.0,True,True,True,1.0,2001
sirius_formula_only_component,123,1.0,True,True,True,1.0,2001
sirius_formula_only_component,124,1.0,True,True,True,1.0,2001
sirius_formula_only_component,125,1.0,True,True,True,1.0,2001
sirius_formula_only_component,126,1.0,True,True,True,1.0,2001
sirius_formula_only_component,127,1.0,True,True,True,1.0,1657
sirius_formula_only_component,128,1.0,True,True,True,1.0,2001
sirius_formula_only_component,129,1.0,True,True,True,1.0,2001
sirius_formula_only_component,13,1.0,True,True,True,1.0,548
sirius_formula_only_component,130,1.0,True,True,True,1.0,2001
sirius_formula_only_component,131,1.0,True,True,True,1.0,2001
sirius_formula_only_component,132,1.0,True,True,True,1.0,2001
sirius_formula_only_component,133,18.0,False,False,False,0.05555555555555555,2001
sirius_formula_only_component,134,1.0,True,True,True,1.0,2001
sirius_formula_only_component,135,117.0,False,False,False,0.008547008547008548,2001
sirius_formula_only_component,136,1.0,True,True,True,1.0,2001
sirius_formula_only_component,137,1.0,True,True,True,1.0,2001
sirius_formula_only_component,138,1.0,True,True,True,1.0,2001
sirius_formula_only_component,139,1.0,True,True,True,1.0,316
sirius_formula_only_component,14,1.0,True,True,True,1.0,2001
sirius_formula_only_component,140,1.0,True,True,True,1.0,2001
sirius_formula_only_component,141,1.0,True,True,True,1.0,2001
sirius_formula_only_component,142,1.0,True,True,True,1.0,2001
sirius_formula_only_component,143,73.0,False,False,False,0.0136986301369863,2001
sirius_formula_only_component,144,1.0,True,True,True,1.0,2001
sirius_formula_only_component,145,1.0,True,True,True,1.0,316
sirius_formula_only_component,146,1.0,True,True,True,1.0,1277
sirius_formula_only_component,147,1.0,True,True,True,1.0,2001
sirius_formula_only_component,148,1.0,True,True,True,1.0,2001
sirius_formula_only_component,149,1.0,True,True,True,1.0,2001
sirius_formula_only_component,15,320.0,False,False,False,0.003125,2001
sirius_formula_only_component,150,1.0,True,True,True,1.0,2001
sirius_formula_only_component,151,1.0,True,True,True,1.0,1793
sirius_formula_only_component,152,1.0,True,True,True,1.0,2001
sirius_formula_only_component,153,1.0,True,True,True,1.0,2001
sirius_formula_only_component,154,1.0,True,True,True,1.0,2001
sirius_formula_only_component,155,613.0,False,False,False,0.0016313213703099511,2001
sirius_formula_only_component,156,1.0,True,True,True,1.0,2001
sirius_formula_only_component,157,1.0,True,True,True,1.0,2001
sirius_formula_only_component,158,4.0,False,True,True,0.25,2001
sirius_formula_only_component,159,1.0,True,True,True,1.0,2001
sirius_formula_only_component,16,1.0,True,True,True,1.0,103
sirius_formula_only_component,160,1.0,True,True,True,1.0,658
sirius_formula_only_component,161,1.0,True,True,True,1.0,2001
sirius_formula_only_component,162,1.0,True,True,True,1.0,529
sirius_formula_only_component,163,1.0,True,True,True,1.0,361
sirius_formula_only_component,164,1.0,True,True,True,1.0,2000
sirius_formula_only_component,165,1.0,True,True,True,1.0,316
sirius_formula_only_component,166,1.0,True,True,True,1.0,2001
sirius_formula_only_component,167,1.0,True,True,True,1.0,2001
sirius_formula_only_component,168,1.0,True,True,True,1.0,2001
sirius_formula_only_component,169,1.0,True,True,True,1.0,2001
sirius_formula_only_component,17,1.0,True,True,True,1.0,2001
sirius_formula_only_component,170,1.0,True,True,True,1.0,2001
sirius_formula_only_component,171,1.0,True,True,True,1.0,1728
sirius_formula_only_component,172,1.0,True,True,True,1.0,1959
sirius_formula_only_component,173,1.0,True,True,True,1.0,2001
sirius_formula_only_component,174,1.0,True,True,True,1.0,388
sirius_formula_only_component,175,1.0,True,True,True,1.0,2001
sirius_formula_only_component,176,1.0,True,True,True,1.0,2001
sirius_formula_only_component,177,1.0,True,True,True,1.0,336
sirius_formula_only_component,178,76.0,False,False,False,0.013157894736842105,2001
sirius_formula_only_component,179,1.0,True,True,True,1.0,2001
sirius_formula_only_component,18,1.0,True,True,True,1.0,2001
sirius_formula_only_component,180,1.0,True,True,True,1.0,2000
sirius_formula_only_component,181,1.0,True,True,True,1.0,2001
sirius_formula_only_component,182,1.0,True,True,True,1.0,826
sirius_formula_only_component,183,17.0,False,False,False,0.058823529411764705,2001
sirius_formula_only_component,184,1.0,True,True,True,1.0,219
sirius_formula_only_component,185,1.0,True,True,True,1.0,2001
sirius_formula_only_component,186,1.0,True,True,True,1.0,2001
sirius_formula_only_component,187,1.0,True,True,True,1.0,2001
sirius_formula_only_component,188,1.0,True,True,True,1.0,2001
sirius_formula_only_component,189,328.0,False,False,False,0.003048780487804878,2001
sirius_formula_only_component,19,1.0,True,True,True,1.0,2001
sirius_formula_only_component,190,1.0,True,True,True,1.0,2001
sirius_formula_only_component,191,1.0,True,True,True,1.0,1876
sirius_formula_only_component,192,153.0,False,False,False,0.006535947712418301,735
sirius_formula_only_component,193,287.0,False,False,False,0.003484320557491289,2001
sirius_formula_only_component,194,775.0,False,False,False,0.0012903225806451613,2001
sirius_formula_only_component,195,1274.0,False,False,False,0.0007849293563579278,1274
sirius_formula_only_component,196,264.0,False,False,False,0.003787878787878788,2001
sirius_formula_only_component,197,1202.0,False,False,False,0.0008319467554076539,1202
sirius_formula_only_component,198,1182.0,False,False,False,0.0008460236886632825,2001
sirius_formula_only_component,199,372.0,False,False,False,0.002688172043010753,2001
sirius_formula_only_component,2,1.0,True,True,True,1.0,2001
sirius_formula_only_component,20,1.0,True,True,True,1.0,405
sirius_formula_only_component,200,510.0,False,False,False,0.00196078431372549,510
sirius_formula_only_component,201,954.0,False,False,False,0.0010482180293501049,2001
sirius_formula_only_component,202,283.0,False,False,False,0.0035335689045936395,2001
sirius_formula_only_component,203,1.0,True,True,True,1.0,2001
sirius_formula_only_component,204,246.0,False,False,False,0.0040650406504065045,2001
sirius_formula_only_component,205,1411.0,False,False,False,0.0007087172218284905,2001
